Date,NIFTY Bank index,NIFTY FMCG index,NIFTY IT index,NIFTY Pharma index
2020-01-01,32102.9,30234.25,15722.15,8047.1
2020-01-02,32443.85,30266.2,15709.65,8053.95
2020-01-03,32069.25,30109.25,15936.6,8111.95
2020-01-06,31237.15,29799.3,15879.8,7987.35
2020-01-07,31399.4,29861.8,15895.2,8036.5
2020-01-08,31373.65,29893.2,15953.45,7996.15
2020-01-09,32092.4,30123.6,15925.15,8033.15
2020-01-10,32097.4,30370.45,15959.9,8058.5
2020-01-13,32177.65,30713.45,16225.9,8078.45
2020-01-14,32071.65,31145.4,16362.35,8117.0
2020-01-15,31824.9,31237.1,16346.85,8166.2
2020-01-16,31853.9,31338.2,16381.65,8203.1
2020-01-17,31590.65,31371.45,16356.6,8345.3
2020-01-20,31080.65,31426.75,16207.15,8269.35
2020-01-21,30947.55,31145.95,16175.2,8274.2
2020-01-22,30701.45,31153.15,16334.55,8256.65
2020-01-23,31004.05,31226.9,16474.4,8300.2
2020-01-24,31241.75,31474.9,16472.75,8294.05
2020-01-27,30837.4,31149.7,16393.55,8416.35
2020-01-28,30761.4,31027.05,16429.75,8420.25
2020-01-29,30877.0,31426.25,16479.3,8412.8
2020-01-30,30647.4,30936.45,16327.9,8237.05
2020-01-31,30833.6,30775.3,16144.15,8138.6
2020-02-01,29820.9,30196.65,16282.65,8013.75
2020-02-03,30023.25,30435.3,16059.9,7967.55
2020-02-04,30686.7,30744.0,16350.85,8122.4
2020-02-05,31001.95,30934.4,16448.55,8125.6
2020-02-06,31304.05,30736.6,16371.15,8227.9
2020-02-07,31201.95,30809.5,16470.15,8341.85
2020-02-10,31058.15,30528.45,16431.9,8261.25
2020-02-11,31300.6,30414.55,16452.3,8324.65
2020-02-12,31492.9,30986.25,16538.1,8265.05
2020-02-13,31230.25,31039.3,16673.05,8335.7
2020-02-14,30834.8,30646.75,16642.75,8331.7
2020-02-17,30680.7,30481.05,16647.7,8204.85
2020-02-18,30562.5,30360.6,16748.75,8198.3
2020-02-19,30838.2,30835.0,16772.45,8378.65
2020-02-20,30942.85,30636.25,16649.4,8364.35
2020-02-24,30455.1,30147.6,16461.8,8115.55
2020-02-25,30432.7,30173.2,16562.5,7938.45
2020-02-26,30306.85,29965.55,16332.25,7839.2
2020-02-27,30187.0,29981.2,16123.8,7885.15
2020-02-28,29147.15,29310.25,15212.95,7576.75
2020-03-02,28868.4,29138.9,15427.65,7535.1
2020-03-03,29177.05,29406.2,15723.2,7920.6
2020-03-04,28653.7,29223.75,15864.3,8086.55
2020-03-05,28815.35,29530.5,15871.35,8146.0
2020-03-06,27801.45,28937.0,15663.45,8018.3
2020-03-09,26462.6,28056.5,14854.9,7756.45
2020-03-11,26487.8,28078.75,14681.4,7623.05
2020-03-12,23971.15,26083.0,13384.8,6942.55
2020-03-13,25166.45,26208.0,13539.1,7268.0
2020-03-16,23101.15,24707.65,12451.35,6959.35
2020-03-17,22155.15,24929.85,12099.25,6979.1
2020-03-18,20580.2,24186.5,11753.0,6705.75
2020-03-19,20083.5,23970.75,11340.0,6655.5
2020-03-20,20317.6,25931.6,12363.4,6951.9
2020-03-23,16917.65,23184.05,11179.6,6432.3
2020-03-24,17107.3,23935.3,11865.05,6611.05
2020-03-25,18481.05,24471.7,12233.35,6695.55
2020-03-26,19613.9,25680.1,12535.6,6775.0
2020-03-27,19969.0,25740.45,12569.1,6813.05
2020-03-30,18782.4,25831.55,12318.8,6896.0
2020-03-31,19144.0,27319.2,12763.65,7176.5
2020-04-01,18208.35,26358.8,12045.85,7026.7
2020-04-03,17249.3,26537.75,11680.05,7361.6
2020-04-07,19062.5,28745.3,12588.95,8124.85
2020-04-08,18946.45,28839.9,12491.55,8412.2
2020-04-09,19913.6,28953.2,12728.55,8800.45
2020-04-13,19488.0,28509.85,12603.1,9044.35
2020-04-15,19057.05,29686.95,12702.6,9038.8
2020-04-16,19400.0,29512.3,12463.6,9199.3
2020-04-17,20681.45,29202.35,12649.25,9157.75
2020-04-20,20522.65,28598.1,12847.65,9149.2
2020-04-21,19409.35,28480.6,12408.85,9381.65
2020-04-22,19701.85,29185.15,12571.3,9377.0
2020-04-23,20267.95,28786.25,13128.2,9388.9
2020-04-24,19586.65,28636.7,12816.2,9518.45
2020-04-27,20081.15,29052.55,13121.15,9602.05
2020-04-28,20671.1,28778.15,13133.65,9386.2
2020-04-29,21090.2,28665.0,13424.95,9385.45
2020-04-30,21534.5,28669.3,14108.35,9327.1
2020-05-04,19743.75,27599.0,13454.25,9364.6
2020-05-05,19271.75,27138.6,13388.0,9181.5
2020-05-06,19694.55,26630.2,13394.7,9227.15
2020-05-07,19491.8,26254.55,13292.7,9148.1
2020-05-08,19352.9,26759.8,13403.6,9343.35
2020-05-11,18950.5,26667.8,13593.55,9307.3
2020-05-12,18862.85,26857.15,13687.75,9246.65
2020-05-13,19634.95,26746.5,13776.95,9147.75
2020-05-14,19068.5,26933.65,13293.7,9172.2
2020-05-15,18833.95,26958.65,13196.35,9093.0
2020-05-18,17573.2,26694.65,13314.4,9092.65
2020-05-19,17486.25,26895.75,13446.6,9084.6
2020-05-20,17840.2,27290.35,13517.35,9456.8
2020-05-21,17735.1,27887.1,13647.9,9520.55
2020-05-22,17278.9,27786.1,13842.65,9600.65
2020-05-26,17440.35,28122.3,13574.95,9483.5
2020-05-27,18710.55,28222.4,13952.9,9463.7
2020-05-28,19169.8,28451.6,14028.6,9464.5
2020-05-29,19297.25,29296.95,14010.5,9768.6
2020-06-01,19959.9,29571.3,14307.1,9802.1
2020-06-02,20530.2,29359.85,14422.4,9833.6
2020-06-03,20940.7,29527.0,14361.7,9864.05
2020-06-04,20390.45,29621.55,14627.45,10077.85
2020-06-05,21034.5,29542.0,14627.45,10081.3
2020-06-08,21187.35,29502.15,14894.6,9939.1
2020-06-09,20724.9,29524.9,14737.8,10122.05
2020-06-10,21100.1,29503.2,14842.05,10149.25
2020-06-11,20525.15,29092.45,14619.45,9933.4
2020-06-12,20654.55,29145.6,14402.75,9982.8
2020-06-15,19912.9,28701.8,14396.7,9989.05
2020-06-16,20296.7,28575.35,14450.8,9926.4
2020-06-17,20201.75,28431.75,14478.45,9977.2
2020-06-18,20956.3,28648.7,14551.25,9975.3
2020-06-19,21338.1,28709.45,14499.8,10002.15
2020-06-22,21708.35,28865.45,14463.65,10218.35
2020-06-23,22264.9,29355.2,14680.4,10360.8
2020-06-24,21426.8,29487.4,14581.45,10110.5
2020-06-25,21506.15,30113.25,14411.2,10193.15
2020-06-26,21592.05,29757.05,14994.65,10137.85
2020-06-29,21359.0,29971.65,14768.0,10135.9
2020-06-30,21370.15,30063.25,14754.3,9985.15
2020-07-01,21977.6,30232.5,14732.1,9882.85
2020-07-02,21953.2,30316.2,15122.55,9943.65
2020-07-03,21852.4,30529.1,15285.9,9963.4
2020-07-06,22198.95,30647.65,15464.95,9901.25
2020-07-07,22628.0,30518.2,15784.95,9878.0
2020-07-08,22584.65,30773.9,15513.65,9948.5
2020-07-09,22907.2,30671.75,15535.95,9987.55
2020-07-10,22398.45,30821.15,15565.2,10072.25
2020-07-13,22089.25,31214.9,15819.2,10106.6
2020-07-14,21392.2,30932.85,15640.55,10155.05
2020-07-15,21340.75,31140.45,16459.8,10210.75
2020-07-16,21597.15,31182.35,16926.05,10382.3
2020-07-17,21966.8,31439.3,16821.35,10472.15
2020-07-20,22321.85,31536.35,17258.3,10304.6
2020-07-21,22782.0,31280.25,17273.2,10153.8
2020-07-22,22882.6,31051.6,17076.05,10175.2
2020-07-23,23083.9,31101.9,17045.2,10322.15
2020-07-24,22662.05,31018.85,17286.0,10237.95
2020-07-27,21848.75,30819.75,17626.75,10062.05
