Number of Records,Order ID,Updated Order Returns,Return ID
1,1,Inaccurate,R001
10,1.1,Late Delivery,R002
1,1.2,Product Damaged,R003
1,1.3, Incorrect Products Delivered,R004
8,1.4, Description Inaccurate,R005
1,1.5,Description Inaccurate,R005
1,1.6, Customer Dissatified With Product,R006
14,1.7, Customer Dissatified ,R007
1,1.8,Inaccurate,R001
1,1.9, Description Inaccurate,R005
1,2,Product Damaged,R003
10,2.1, Customer Dissatified With Product,R006
1,2.2,Product Damaged,R003
1,2.3, Incorrect Products Delivered,R004
8,2.4, Description Inaccurate,R005
1,2.5,Description Inaccurate,R005
1,2.6, Customer Dissatified With Product,R006
14,2.7, Customer Dissatified With Product,R006
1,2.8,Product Damaged,R003
1,2.9, Description Inaccurate,R005
2,3,Inaccurate,R001
12,3.1,Late Delivery,R002
5,3.2,Product Damaged,R003
4,3.3, Incorrect Products Delivered,R004
3,3.4, Description Inaccurate,R005
16,3.5,Description Inaccurate,R005
2,3.6, Customer Dissatified With Product,R006
5,3.7, Customer Dissatified ,R007
2,3.8,Inaccurate,R001
3,3.9, Description Inaccurate,R005